T-Shirt,Comfortable and stylish t-shirt,20.99,50,TSH01
Jeans,Classic denim jeans,39.99,30,JNS02
Running Shoes,Lightweight running shoes,89.99,20,RNS03
Smartphone,High-performance smartphone,699.99,10,PHN04
Backpack,Durable and spacious backpack,49.99,25,BPK05
Watch,Elegant wristwatch,199.99,15,WTC06
Laptop,Powerful laptop for work and entertainment,1199.99,5,LTP07
Headphones,Noise-canceling headphones,149.99,12,HDP08
Dress,Formal evening dress,79.99,8,DRS09
Sunglasses,UV-protected sunglasses,29.99,30,SGS10
Sneakers, Comfortable sneakers for everyday wear, 59.99, 25, SNK123
T-Shirt, Classic cotton t-shirt, 15.99, 50, TSHT456
Jeans, High-quality denim jeans, 79.99, 30, JEAN789
Running Shoes, Lightweight running shoes for athletes, 89.99, 15, RUN456
Dress, Elegant evening dress, 129.99, 10, DRS789
Watch, Stylish wristwatch with leather strap, 199.99, 5, WTC234
Backpack, Spacious backpack for daily use, 49.99, 20, BPK567
Sunglasses, UV-protected sunglasses, 29.99, 30, SGL890
Shorts, Comfortable shorts for summer, 34.99, 40, SHT123
Jacket, Waterproof jacket for outdoor activities, 99.99, 10, JKT456
Men's Running Shoes,High-performance shoes for running,99.99,50,MSH01
Women's T-Shirt,Casual t-shirt for women,19.99,100,WTS02
Smartphone,Advanced mobile device,699.99,20,SPH03
Laptop,Powerful laptop for productivity,1299.99,15,LTP04
Headphones,Wireless headphones with noise cancellation,199.99,30,HDP05
Smartwatch,Fitness tracker and smartwatch,149.99,25,SWT06
Men's Jeans,Denim jeans for men,59.99,80,MJN07
Women's Dress,Elegant dress for special occasions,79.99,60,WDR08
Wireless Mouse,Compact and ergonomic mouse,29.99,50,WMS09
Bluetooth Speaker,Portable speaker with rich sound,79.99,40,BSP10
